ID	gdp_2008	gdp_pps_2008	pop_t_2008	gdppercapita
LT005	1943000	3091000	284,235	6835,892835154
LT006	2375000	3777000	349,876	6788,1192193806
LT007	572000	909000	127,378	4490,5713702523
LT008	1346000	2141000	173,383	7763,1601714124
LT009	1324000	2105000	172,58	7671,8043805771
LT00A	12645000	20111000	848,097	14909,8511137287
LU000	39640000	34176000	483,799	81934,853110486
LV003	2407000	3345000	303,618	7927,7249701928
LV005	1937000	2692000	348,271	5561,7608127005
LV006	12476000	17337000	717,371	17391,2801047157
LV007	2932000	4075000	380,347	7708,7501676101
LV008	1520000	2112000	237,803	6391,8453509838
LV009	1765000	2452000	283,484	6226,1009439686
MK001	490000	1280000	153,929	3183,2858005964
MK002	509000	1329000	180,422	2821,1637161765
MK003	544000	1421000	222,221	2448,0134640741
MK004	471000	1230000	172,238	2734,5881861146
MK005	798000	2083000	235,141	3393,7084557776
MK006	484000	1264000	312,106	1550,7551921463
MK007	346000	902000	174,139	1986,9184961439
MK008	3049000	7960000	594,981	5124,5333884612
MT001	5474000	7578000	379	14443,27176781
MT002	324000	448000	31,29	10354,7459252157
NL111	3167000	2922000	153,063	20690,8266530775
NL112	1810000	1670000	50,147	36093,8839810956
NL113	25902000	23902000	370,249	69958,325343215
NL121	10476000	9667000	330,764	31672,128768548
NL122	2694000	2486000	105,564	25520,0636580652
NL123	5974000	5513000	206,861	28879,2957589879
NL131	5020000	4633000	187,899	26716,4806624836
NL132	4776000	4407000	171,345	27873,5883743325
NL133	3892000	3591000	128,891	30196,057133547
NL211	12182000	11241000	349,296	34875,8645962164
NL212	4317000	3983000	151,706	28456,3563735119
NL213	18785000	17334000	618,992	30347,7266265154
NL221	21198000	19561000	648,368	32694,3957752388
NL224	7200000	6644000	401,766	17920,8793178119
NL225	10999000	10149000	699,966	15713,6203758468
NL226	21246000	19605000	233,769	90884,5911990042
NL230	10574000	9757000	378,688	27922,7226635119
NL310	51341000	47375000	1201,35	42736,0885670288
NL321	9503000	8769000	366,561	25924,7437670674
NL322	6782000	6258000	228,864	29633,3193512304
NL323	6415000	5920000	190,194	33728,7190973427
NL324	5909000	5453000	217,327	27189,4426371321
NL325	4465000	4120000	158,764	28123,5040689325
NL326	67781000	62545000	1222,305	55453,4261088681
NL327	8091000	7466000	242,148	33413,4496258487
NL331	12260000	11313000	386,818	31694,49198331
NL332	30485000	28130000	784,405	38863,852219198
NL333	8790000	8111000	212,918	41283,4988117491
NL334	9628000	8884000	325,539	29575,5654468435
NL335	54731000	50503000	1351,579	40494,1183608209
NL336	13574000	12525000	400,176	33920,0751669266
NL341	4575000	4221000	107,337	42622,7675452081
NL342	8146000	7517000	273,248	29811,7461061014
NL411	23837000	21996000	609,544	39106,2827293846
NL412	14111000	13021000	454,213	31066,9223470046
NL413	22564000	20821000	631,183	35748,7448172717
NL414	27159000	25061000	729,887	37209,8694729458
NL421	8874000	8189000	278,818	31827,2134510684
NL422	7196000	6640000	234,019	30749,6399864968
NL423	19795000	18266000	610,868	32404,7093643799
NO011	51895000	38253000	560,484	92589,618972174
NO012	22498000	16584000	518,567	43384,943507782
NO021	6698000	4937000	189,289	35385,0461463688
NO022	6641000	4895000	183,637	36163,7360662612
NO031	9705000	7154000	265,458	36559,4557331103
NO032	10321000	7608000	251,22	41083,5124591991
NO033	8481000	6252000	226,433	37454,7879505196
NO034	6903000	5088000	166,731	41402,0188207352
NO041	3838000	2829000	106,13	36163,1960802789
NO042	7642000	5633000	165,944	46051,6800848479
NO043	22176000	16347000	412,687	53735,6398432711
NO051	23480000	17308000	462,674	50748,475168261
NO052	4390000	3236000	106,259	41314,1475075052
NO053	11395000	8400000	246,772	46176,2274488192
NO061	12847000	9470000	282,993	45396,8826084037
NO062	4236000	3122000	129,856	32620,7491375062
NO071	9047000	6669000	234,996	38498,5276345129
NO072	5739000	4230000	154,642	37111,5220961964
NO073	2647000	1951000	72,399	36561,2784706971
PL113	8854000	13098000	753,192	11755,3027647665
PL114	3060000	4527000	376,075	8136,6748653859
PL115	4963000	7342000	598,945	8286,2366327459
PL116	3123000	4620000	454,127	6876,9309025889
PL117	2623000	3881000	373,559	7021,6485213848
PL121	6284000	9295000	625,092	10052,9202101451
PL122	5263000	7786000	748,689	7029,6211110354
PL127	48075000	71117000	1706,624	28169,6495537388
PL128	4254000	6292000	622,599	6832,6483017159
PL129	5831000	8626000	749,044	7784,5894233183
PL12A	8350000	12352000	736,44	11338,3303459888
PL213	11177000	16535000	756,583	14772,9991289786
PL214	4286000	6340000	668,479	6411,5701465566
PL215	4322000	6393000	761,996	5671,9457844923
PL216	4490000	6643000	632,336	7100,6553477898
PL217	2714000	4015000	459,642	5904,5953154847
PL224	4288000	6344000	532,626	8050,6772106506
PL225	6083000	8999000	649,695	9362,8548780582
PL227	5908000	8739000	637,006	9274,6379154985
PL228	3467000	5129000	457,978	7570,2326312618
PL229	5170000	7648000	500,945	10320,4942658376
PL22A	10545000	15599000	771,521	13667,8068386991
PL22B	7107000	10514000	721,377	9851,9913997813
PL22C	5252000	7769000	382,967	13713,9753555789
PL311	1721000	2546000	308,517	5578,2987647358
PL312	3690000	5459000	650,952	5668,6207277956
PL314	6005000	8883000	714,276	8407,114336755
PL315	2887000	4270000	492,468	5862,3098353599
PL323	2823000	4176000	480,895	5870,3043283877
PL324	2175000	3218000	395,349	5501,4683229248
PL325	4515000	6679000	607,187	7435,929952387
PL326	4281000	6333000	613,907	6973,3689304732
PL331	6362000	9412000	777,918	8178,2398658985
PL332	3343000	4945000	497,632	6717,8155745611
PL343	4155000	6146000	503,69	8249,1214834521
PL344	2385000	3528000	412,182	5786,2788768069
PL345	1753000	2593000	276,788	6333,367053485
PL411	3023000	4471000	407,192	7424,0161889232
PL414	4667000	6904000	650,368	7175,9373154891
PL415	10680000	15799000	560,932	19039,7410024745
PL416	4936000	7302000	666,968	7400,6549039834
PL417	4324000	6397000	541,323	7987,8372062521
PL418	6102000	9026000	560,099	10894,5025790084
PL422	4588000	6787000	591,964	7750,4713124447
PL423	2287000	3383000	375,124	6096,6507074994
PL424	5000000	7396000	407,811	12260,5814948591
PL425	2753000	4073000	317,372	8674,3632078444
PL431	3161000	4676000	381,834	8278,4665587664
PL432	5084000	7521000	626,647	8113,0205681987
PL514	9262000	13702000	632,93	14633,5297742246
PL515	4339000	6419000	579,646	7485,6032820032
PL516	6428000	9510000	448,586	14329,4708261069
PL517	4993000	7387000	680,111	7341,4486752898
PL518	4456000	6592000	537,137	8295,8351407555
PL521	2496000	3692000	409,735	6091,7422236324
PL522	5865000	8676000	627,353	9348,8036241159
PL613	8094000	11973000	759,19	10661,3627682135
PL614	3466000	5127000	529,476	6546,0946294072
PL615	5459000	8075000	777,47	7021,4927907186
PL621	3534000	5228000	529,864	6669,6359820633
PL622	4825000	7138000	612,524	7877,2423611157
PL623	1719000	2543000	283,767	6057,7868462506
PL631	3551000	5253000	478,345	7423,5123185149
PL633	9582000	14175000	745,113	12859,7944204436
PL634	3290000	4868000	498,36	6601,6534232282
PL635	3603000	5330000	489,102	7366,561576113
PT111	2604000	3132000	251,676	10346,6361512421
PT112	5087000	6118000	411,327	12367,2892856535
PT113	6157000	7406000	524,057	11748,7219901652
PT114	21796000	26216000	1281,424	17009,202262483
PT115	4902000	5896000	560,672	8743,079732892
PT116	3692000	4441000	287,665	12834,3733161838
PT117	2032000	2443000	212,17	9577,2258094924
PT118	2159000	2597000	216,245	9984,045873893
PT150	7635000	9184000	426,386	17906,3102447078
PT161	5962000	7171000	399,607	14919,6585645397
PT162	5099000	6134000	332,355	15342,0288546885
PT163	4386000	5275000	267,223	16413,2578408296
PT164	1360000	1636000	137,636	9881,1357493679
PT165	3483000	4189000	291,516	11947,8862223686
PT166	413000	497000	41,074	10055,0226420607
PT167	390000	469000	47,904	8141,2825651303
PT168	1175000	1413000	110,151	10667,1750596908
PT169	1016000	1222000	73,923	13744,0309511248
PT16A	981000	1180000	91,35	10738,9162561576
PT16B	4685000	5636000	361,868	12946,7098500006
PT16C	3008000	3618000	231,304	13004,530833881
PT171	54247000	65247000	2025,628	26780,3367646972
PT172	9370000	11270000	782,786	11970,0658928494
PT181	1945000	2339000	96,169	20224,812569539
PT182	1545000	1859000	118,066	13085,901106161
PT183	2326000	2798000	169,863	13693,3882010797
PT184	1970000	2369000	127,581	15441,170707237
PT185	3606000	4338000	249,254	14467,1700353856
PT200	3704000	4455000	244,006	15179,9545912805
PT300	5289000	6361000	246,689	21439,9507071657
